index,rule_id,rule_type,tool,level,file_type,start_line,rank,occurrence_count,severity,ground_truth_fp
194,gdpr-data-leak,clear_vp,SonarQube,note,test,397,0.6754202075470892,1,0.450597018983134,False
195,public-subnet,mixed,Semgrep,note,test,1325,0.7184292298187352,4,0.7175721247315944,True
196,ssrf-request,clear_vp,CodeQL,note,test,1348,0.3838388830449795,3,0.4189477901874754,True
197,dns-exfiltration,clear_vp,Semgrep,note,production,105,0.646450090124607,4,0.11573760667870536,False
198,todo-comment,clear_fp,CodeQL,note,production,1629,0.06644384435577488,3,0.422034260127639,True
199,ssh-anomaly,mixed,SonarQube,none,config,223,0.46660778469721587,3,0.8518412368739476,True
200,malware-callback,clear_vp,CodeQL,warning,production,1054,0.4464195164015822,7,0.3711724234376276,False
201,hsts-missing,clear_fp,SonarQube,warning,production,1220,0.04477845050466822,5,0.006710390304059954,True
202,hardcoded-secret,mixed,CodeQL,warning,production,576,0.6057792494526903,4,0.688274235780237,True
203,hardcoded-secret,mixed,CodeQL,warning,production,1179,0.20886407070573998,4,0.14706185056658838,False
204,eval-detected,clear_fp,CodeQL,none,production,124,0.3139667173773528,7,0.3855119047369223,True
205,ssrf-request,clear_vp,Semgrep,warning,production,1403,0.8385492149028282,4,0.5074463661197421,False
206,sql-injection,mixed,SonarQube,none,test,1409,0.580467600993696,3,0.4888978317924514,True
207,ssh-anomaly,mixed,Semgrep,warning,config,657,0.7108847166823191,4,0.35346074054678245,False
208,xss-reflected,mixed,Semgrep,error,config,977,0.6807558929604856,2,0.9696077268480954,True
209,dom-xss,clear_vp,CodeQL,note,test,1252,0.2857835555258702,4,0.4923254800011819,False
210,gdpr-data-leak,clear_vp,SonarQube,none,production,1711,0.7645277946547177,4,0.8539619669554221,False
211,gdpr-data-leak,clear_vp,Semgrep,warning,production,1037,0.9715330423905887,5,0.8720483384470077,False
212,rds-public,mixed,CodeQL,warning,production,1705,0.278759872414553,3,0.9978208556819782,False
213,hsts-missing,clear_fp,Semgrep,error,production,1,0.06902954088784963,1,0.9370910284587948,False
214,http-404-burst,clear_fp,CodeQL,note,config,703,0.08860471396967906,2,0.40754303103243084,True
215,todo-comment,clear_fp,CodeQL,note,test,45,0.9551152072917014,3,0.5006242680704178,True
216,command-injection,clear_vp,CodeQL,warning,production,1037,0.6668544210142678,4,0.15232958946453545,False
217,weak-cipher,mixed,Semgrep,none,test,1811,0.6478174459905284,4,0.5858647884535192,True
218,dom-xss,clear_vp,CodeQL,note,test,412,0.23465344177584935,3,0.11995369302388992,False
219,open-redirect,mixed,CodeQL,warning,production,1663,0.05433203482290383,3,0.5111291392372298,True
220,rds-public,mixed,CodeQL,warning,infra,1800,0.003819922658583108,4,0.3602339188004279,True
221,assert-usage,clear_fp,SonarQube,none,infra,177,0.3773136614063236,4,0.5646290509972631,True
222,s3-no-encryption,mixed,SonarQube,note,production,1749,0.7130460506343187,7,0.7818238633449356,True
223,command-injection,clear_vp,SonarQube,warning,config,1327,0.11097752458514809,3,0.8589566854206295,False
224,catch-generic,clear_fp,Semgrep,note,config,329,0.8697631766817108,5,0.39473435384482813,True
225,unused-import,clear_fp,SonarQube,none,production,1549,0.058091952080349785,3,0.8354802257421944,True
226,catch-generic,clear_fp,Semgrep,none,config,868,0.9488459558311304,1,0.736200425060762,True
227,public-subnet,mixed,CodeQL,warning,infra,230,0.7623090320219387,3,0.1315182669163779,False
228,xss-reflected,mixed,CodeQL,error,config,745,0.12020722912057624,2,0.2933086107805647,False
229,weak-cipher,mixed,Semgrep,warning,test,484,0.548382036195654,6,0.20709491817657122,True
230,latest-tag,clear_fp,CodeQL,error,production,1250,0.4840770697102016,3,0.9577898009882039,False
231,path-traversal,mixed,CodeQL,note,production,1516,0.6197345714330892,6,0.9064209639144368,True
232,sqli-confirmed,clear_vp,CodeQL,warning,production,216,0.7249811699240525,2,0.6899997373089434,False
233,http-404-burst,clear_fp,CodeQL,warning,production,422,0.5296597239456199,4,0.274703815047892,True
234,deserialization,clear_vp,SonarQube,warning,production,1758,0.5608744633626176,5,0.994981369325093,False
235,http-404-burst,clear_fp,SonarQube,error,infra,1114,0.5225397167320532,4,0.2139570386882369,True
236,bare-except,clear_fp,SonarQube,error,config,125,0.9437015928202208,6,0.718331175372004,True
237,hardcoded-secret,mixed,Semgrep,none,config,86,0.6030643061705165,6,0.8080792823558299,True
238,prototype-pollution,mixed,Semgrep,note,production,1179,0.029169763645264468,3,0.28888493890916567,False
239,rds-public,mixed,SonarQube,warning,production,980,0.09072170223493103,1,0.05770292841589886,False
240,ssh-anomaly,mixed,Semgrep,warning,config,693,0.35857846152487316,3,0.9182390866754371,True
241,http-404-burst,clear_fp,CodeQL,warning,infra,354,0.6795499271339084,4,0.4275018313281117,True
242,gdpr-data-leak,clear_vp,SonarQube,warning,production,327,0.8458495504599677,6,0.25530907650393164,True
243,insecure-deser,clear_vp,SonarQube,error,production,421,0.4600023955807989,3,0.7267492241681967,False
244,csrf-missing,mixed,Semgrep,note,production,433,0.5390945527360087,3,0.12786680122241756,True
245,eval-detected,clear_fp,Semgrep,error,production,1341,0.4374819266082097,2,0.19111870949600263,True
246,gdpr-data-leak,clear_vp,Semgrep,note,config,1933,0.4226291970136091,5,0.3709410081577652,False
247,hardcoded-secret,mixed,SonarQube,warning,config,162,0.7806317174255571,3,0.26532613755546697,False
248,dom-xss,clear_vp,Semgrep,note,production,1126,0.780731853200901,5,0.18019575412814792,True
249,http-404-burst,clear_fp,CodeQL,error,production,1364,0.9785254683891406,7,0.163035336931591,True
250,rds-public,mixed,SonarQube,none,production,1908,0.12438283124132432,4,0.558980634099774,True
251,latest-tag,clear_fp,SonarQube,error,test,1360,0.862640471149179,4,0.13171502857909356,False
252,dom-xss,clear_vp,CodeQL,note,test,1400,0.8164107849650307,2,0.31286316085513,False
253,latest-tag,clear_fp,CodeQL,error,test,1589,0.3067765995221412,5,0.06835320030995862,True
254,weak-cipher,mixed,CodeQL,error,production,197,0.07211109292943518,5,0.11619095652544598,False
255,dom-xss,clear_vp,CodeQL,warning,production,361,0.9803687409421851,2,0.17936468201221045,False
256,catch-generic,clear_fp,CodeQL,none,test,1498,0.5821832300925898,3,0.6054826692144046,True
257,csrf-missing,mixed,SonarQube,note,infra,1463,0.07697946706496628,3,0.09206698608247543,False
258,dom-xss,clear_vp,Semgrep,error,test,802,0.7037923109905077,5,0.5257562195591349,True
259,gdpr-data-leak,clear_vp,CodeQL,none,production,868,0.7011395944174736,3,0.5829260568042631,False
260,assert-usage,clear_fp,Semgrep,none,production,1261,0.6172490208487257,5,0.3270446441518178,True
261,hardcoded-secret,mixed,Semgrep,note,production,43,0.6376882468959355,3,0.1992703364668008,False
262,rds-public,mixed,Semgrep,none,production,1390,0.2708063280369726,2,0.45894051659682034,False
263,deserialization,clear_vp,CodeQL,warning,production,1574,0.3832842396422014,4,0.5136110465443245,False
264,hardcoded-secret,mixed,CodeQL,warning,production,721,0.9207666084633573,4,0.8953460891531693,False
265,public-subnet,mixed,CodeQL,note,test,680,0.4425455148147456,3,0.8247432373470076,True
266,sqli-confirmed,clear_vp,CodeQL,warning,production,256,0.40763285797965576,2,0.2100293495162816,True
267,s3-no-encryption,mixed,Semgrep,warning,production,645,0.786522382390847,7,0.9245610553768049,True
268,eval-detected,clear_fp,SonarQube,warning,production,1914,0.8285555979060814,6,0.5056341534219588,True
269,todo-comment,clear_fp,Semgrep,warning,test,1450,0.8843765470229713,4,0.2959428888586566,True
270,prototype-pollution,mixed,SonarQube,error,test,1648,0.11755130015021997,2,0.7187396178535302,True
271,unused-import,clear_fp,CodeQL,warning,production,499,0.24153684170168177,2,0.22236130474817029,True
272,path-traversal,mixed,SonarQube,warning,production,758,0.2676007988617075,6,0.8714684213765338,False
273,public-subnet,mixed,CodeQL,warning,production,1921,0.6314189212183764,3,0.11720390568023342,False
274,rds-public,mixed,Semgrep,none,test,1349,0.7648009724592773,9,0.22190046078437287,True
275,http-404-burst,clear_fp,Semgrep,warning,config,1622,0.8433261677878832,5,0.8549740195614743,True
276,todo-comment,clear_fp,Semgrep,error,production,1256,0.015508330626592182,3,0.4792600899145375,True
277,dom-xss,clear_vp,CodeQL,note,production,333,0.8038145451934468,5,0.3505205342861618,False
278,hardcoded-secret,mixed,SonarQube,note,production,1146,0.3499449395296398,7,0.1036785807342765,True
279,ssh-anomaly,mixed,SonarQube,note,config,1504,0.5180080664046248,4,0.1698810060507353,True
280,path-traversal,mixed,SonarQube,warning,production,991,0.5971553059903019,5,0.4739212201161027,True
281,hardcoded-secret,mixed,CodeQL,error,test,1630,0.8686396398234256,5,0.4438591884213011,False
282,weak-cipher,mixed,CodeQL,note,production,505,0.2640619846937188,5,0.6946409588937278,True
283,hsts-missing,clear_fp,SonarQube,note,config,887,0.18772240569225207,3,0.4323462264033473,True
